"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J13,J7,J12,J20,J19";"PinHeader_1x03_P2.54mm_Vertical";5;"Conn_01x03";;;
2;"J22,J18,J14,J1,J21";"PinHeader_1x01_P1.27mm_Vertical";5;"Conn_01x03";;;
3;"C1,C3,C2,C4";"C_0603_1608Metric";4;"100n";;;
4;"J5,J6";"PinHeader_2x03_P1.27mm_Vertical";2;"Conn_01x03";;;
5;"J23";"PinHeader_2x32_P2.54mm_Horizontal";1;"Conn_02x29_Top_Bottom";;;
6;"R4";"R_0603_1608Metric";1;"1k";;;
7;"U1";"SPDT-2pos-CAS-D20B1";1;"~";;;
8;"J17";"PinHeader_2x10_P2.54mm_Vertical";1;"Conn_02x10_Odd_Even";;;
9;"HEEPidermis1";"CONN_5205_3MM";1;"264-5205-01";;;
10;"J8";"PinHeader_2x02_P1.27mm_Vertical";1;"Conn_01x03";;;
11;"J10,J11,J9";"SMA_Amphenol_901-144_Vertical";3;"Conn_Boaxial";;;
12;"J2";"CONN_502598-3393_MOL";1;"5025983393";;;
13;"REF**";"ESL";1;"ESL";;;
14;"J15";"PinHeader_2x16_P2.54mm_Vertical";1;"Conn_02x16_Odd_Even";;;
15;"R5";"R_0603_1608Metric";1;"10k";;;
16;"HEEPidermis2";"QFN-64-1EP_9x9mm_P0.5mm_EP3.4x3.4mm";1;"264-5205-01";;;
17;"SW1";"SW_Push_1P1T_NO_CK_KMR2";1;"SW_Push";;;
18;"R2,R1,R3";"R_0402_1005Metric";3;"0R";;;
