Comment,Designator,Footprint,LCSC,Quantity
0.1u,"C1,C10,C2",C_0603_1608Metric,C1590,3
100k,R10,R_0402_1005Metric,C25530,1
10k,"R11,R6",R_0603_1608Metric,C98220,2
10u,"C4,C6,C7,C8,C9",C_0603_1608Metric,C19702,5
11.3k,R4,R_0603_1608Metric,C22860,1
2.2u,"C3,C5",C_0603_1608Metric,C1607,2
20k,R8,R_0402_1005Metric,C25545,1
24AA02E-OT,U5,SOT-23-5,C38987,1
38.3k,R2,R_0603_1608Metric,C23034,1
5029,TP3,TestPoint_Keystone_5019_Miniature,C238131,1
53.6k,"R3,R5",R_0603_1608Metric,C23074,2
68.1k,R1,R_0603_1608Metric,C25976,1
Conn_Coaxial,J1,SMA_Amphenol_132289_EdgeMount,C1509219,1
MCP4726,U4,TSOT-23-6,C191581,1
TLV75801PDBV,U3,SOT-23-5,C2877852,1
TPS72301,U2,SOT-23-5,C34678,1
