Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0603_1608Metric,84.985,-72.21,180.0,top
C10,0.1u,C_0603_1608Metric,89.175,-64.9,-90.0,top
C2,0.1u,C_0603_1608Metric,86.2,-66.925,0.0,top
C3,2.2u,C_0603_1608Metric,91.56,-72.895,-90.0,top
C4,10u,C_0603_1608Metric,93.13,-72.885,-90.0,top
C5,2.2u,C_0603_1608Metric,94.375,-78.65,180.0,top
C6,10u,C_0603_1608Metric,82.75,-79.35,180.0,top
C7,10u,C_0603_1608Metric,90.91,-83.11,90.0,top
C8,10u,C_0603_1608Metric,82.545,-83.86,180.0,top
C9,10u,C_0603_1608Metric,94.395,-84.4,0.0,top
J1,Conn_Coaxial,SMA_Amphenol_132289_EdgeMount,88.325,-56.5,90.0,top
R1,68.1k,R_0603_1608Metric,92.165,-66.92,0.0,top
R10,100k,R_0402_1005Metric,91.66,-80.075,180.0,top
R11,10k,R_0603_1608Metric,90.9,-76.0,90.0,top
R2,38.3k,R_0603_1608Metric,92.165,-65.28,180.0,top
R3,53.6k,R_0603_1608Metric,85.585,-83.86,0.0,top
R4,11.3k,R_0603_1608Metric,88.605,-83.86,0.0,top
R5,53.6k,R_0603_1608Metric,88.12,-72.21,0.0,top
R6,10k,R_0603_1608Metric,82.57,-82.19,180.0,top
R8,20k,R_0402_1005Metric,91.66,-81.0825,180.0,top
TP3,5029,TestPoint_Keystone_5019_Miniature,85.975,-61.125,0.0,top
U2,TPS72301,SOT-23-5,91.7875,-69.45,0.0,top
U3,TLV75801PDBV,SOT-23-5,94.37,-81.4825,270.0,top
U4,MCP4726,TSOT-23-6,86.34,-69.66,0.0,top
U5,24AA02E-OT,SOT-23-5,85.9,-64.325,180.0,top
