heepocrates

Pin,Type,Name,Side
41,input,bladetest_OSCen_i,right
42,output,bladetest_oscOut_o,right
43,input,bladetest_ck_i,right
44,input,bladetest_scen_i,right
45,output,bladetest_SCout_o,right
46,input,bladetest_SCin_i,right
18,bidirectional,gpio_23_io,right
30,bidirectional,gpio_22_io,right
31,bidirectional,gpio_21_io,right
32,bidirectional,gpio_20_io,right
37,bidirectional,gpio_19_io,right
38,bidirectional,gpio_18_io,right
39,bidirectional,gpio_17_io,right
40,bidirectional,gpio_16_io,right
53,bidirectional,gpio_15_io,right
54,bidirectional,gpio_14_io,right
55,bidirectional,gpio_13_io,right
56,bidirectional,gpio_12_io,right
57,bidirectional,gpio_11_io,right
58,bidirectional,gpio_10_io,right
61,bidirectional,gpio_9_io,right
62,bidirectional,gpio_8_io,right
65,bidirectional,gpio_7_io,right
66,bidirectional,gpio_6_io,right
67,bidirectional,gpio_5_io,right
68,bidirectional,gpio_4_io,right
71,bidirectional,gpio_3_io,right
72,bidirectional,gpio_2_io,right
73,bidirectional,gpio_1_io,right
74,bidirectional,gpio_0_io,right
5,bidirectional,spi_flash_sd_0_io,left
6,bidirectional,spi_flash_sd_1_io,left
7,bidirectional,spi_flash_sd_2_io,left
8,bidirectional,spi_flash_sd_3_io,left
9,bidirectional,spi_flash_cs_0_io,left
10,bidirectional,spi_flash_sck_io,left
11,input,rst_ni,left
12,input,ref_clk_i,left
13,bidirectional,uart_rx_i,left
14,bidirectional,uart_tx_o,left
15,bidirectional,fll_clk_div_io,left
16,bidirectional,exit_valid_o,left
17,bidirectional,exit_value_o,left
23,bidirectional,spi_sd_0_io,left
24,bidirectional,spi_sd_1_io,left
25,bidirectional,spi_sd_2_io,left
26,bidirectional,spi_sd_3_io,left
27,bidirectional,spi_cs_1_io,left
28,bidirectional,spi_cs_0_io,left
29,bidirectional,spi_sck_io,left
79,output,jtag_tdo_o,left
80,input,jtag_tdi_i,left
81,input,jtag_trst_ni,left
82,input,jtag_tms_i,left
83,input,jtag_tck_i,left
84,input,bypass_fll_i,left
85,input,execute_from_flash_i,left
86,input,boot_select_i,left
87,bidirectional,i2c_sda_io,left
88,bidirectional,i2c_scl_io,left
3,power_in,VDDIO6,top
19,power_in,VDDIO5,top
33,power_in,VDDIO4,top
48,power_in,VDDIO3,top
64,power_in,VDDIO2,top
78,power_in,VDDIO1,top
4,power_in,VSSIO6,bottom
20,power_in,VSSIO5,bottom
34,power_in,VSSIO4,bottom
47,power_in,VSSIO3,bottom
63,power_in,VSSIO2,bottom
77,power_in,VSSIO1,bottom
1,power_in,VDD_HEEP1,top
21,power_in,VDD_HEEP4,top
35,power_in,VDD_HEEP3,top
76,power_in,VDD_HEEP2,top
2,power_in,VSS_HEEP1,bottom
22,power_in,VSS_HEEP4,bottom
36,power_in,VSS_HEEP3,bottom
75,power_in,VSS_HEEP2,bottom
49,power_in,bladetest_gnd,bottom
50,power_in,bladetest_vdd3,top
51,power_in,bladetest_vdd2,top
52,power_in,bladetest_vdd1,top
60,power_in,cgra_vdd2,top
70,power_in,cgra_vdd1,top
59,power_in,cgra_gnd2,bottom
69,power_in,cgra_gnd1,bottom
