Vin,fosc,P_VCO,P_counter
225,0,0.15,0.00
250,0,0.15,0.00
275,0,0.15,0.00
300,0,0.15,0.00
330,24,0.15,0.07
340,26,0.13,0.08
360,31,0.14,0.10
380,37,0.15,0.11
400,45,0.16,0.14
420,55,0.19,0.17
440,67,0.26,0.21
460,81,0.30,0.25
480,99,0.34,0.30
500,120,0.37,0.37
520,146,0.45,0.45
540,174,0.53,0.53
560,209,0.64,0.64
580,247,0.72,0.76
600,292,0.89,0.90
620,343,1.07,1.05
640,397,1.27,1.22
660,455,1.52,1.45
680,520,1.80,1.66
700,599,2.13,1.99
720,676,2.51,2.19
740,760,2.92,2.47
760,855,3.40,2.71
780,950,3.95,3.24
800,1050,4.59,3.84
820,1170,5.26,4.28
